"source_id","lineup","games","stints","seconds","minutes","pts_for","pts_against","plus_minus","net_per_40"
"2015-16","Brionna Jones|Chloe Pavlech|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",27,79,13879,231.3,450,324,126,21.8
"2015-16","Brene Moseley|Brionna Jones|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",20,51,6277,104.6,234,150,84,32.1
"2015-16","Brene Moseley|Brionna Jones|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",26,48,5346,89.1,175,154,21,9.4
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",8,18,2990,49.8,110,63,47,37.7
"2015-16","Brene Moseley|Kristen Confroy|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",17,33,2913,48.5,91,69,22,18.1
"2015-16","Brionna Jones|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",13,23,2443,40.7,85,70,15,14.7
"2015-16","Chloe Pavlech|Kristen Confroy|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",15,24,2130,35.5,68,64,4,4.5
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",13,19,1977,33.0,63,45,18,21.9
"2015-16","Brene Moseley|Brianna Fraser|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",13,17,1507,25.1,55,32,23,36.6
"2015-16","Brene Moseley|Brianna Fraser|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",8,12,1442,24.0,67,48,19,31.6
"2015-16","Brene Moseley|Brianna Fraser|Brionna Jones|Kristen Confroy|S. Walker-Kimbrough",12,17,1350,22.5,59,30,29,51.6
"2015-16","Brene Moseley|Brionna Jones|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",6,8,1295,21.6,46,36,10,18.5
"2015-16","Brene Moseley|Kiah Gillespie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",13,15,1164,19.4,42,35,7,14.4
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",9,14,1164,19.4,40,28,12,24.7
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|Malina Howard|S. Walker-Kimbrough",3,5,953,15.9,31,14,17,42.8
"2015-16","Brionna Jones|Chloe Pavlech|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",5,8,951,15.8,43,21,22,55.5
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",7,9,826,13.8,21,25,-4,-11.6
"2015-16","Brene Moseley|Brionna Jones|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",5,8,797,13.3,30,30,0,0.0
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kiah Gillespie|S. Walker-Kimbrough",6,6,755,12.6,31,17,14,44.5
"2015-16","Brene Moseley|Kiah Gillespie|Kiara Leslie|Kristen Confroy|Malina Howard",7,7,706,11.8,16,20,-4,-13.6
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|S. Walker-Kimbrough|Tierney Pfirman",4,6,622,10.4,28,13,15,57.9
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",7,8,621,10.3,24,15,9,34.8
"2015-16","Chloe Pavlech|Kiah Gillespie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",8,9,615,10.2,12,13,-1,-3.9
"2015-16","Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",4,4,602,10.0,17,19,-2,-8.0
"2015-16","Brene Moseley|Chloe Pavlech|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",6,8,571,9.5,21,13,8,33.6
"2015-16","Brianna Fraser|Chloe Pavlech|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",7,9,562,9.4,22,13,9,38.4
"2015-16","Brene Moseley|Brionna Jones|Kiara Leslie|Kristen Confroy|Tierney Pfirman",3,4,543,9.1,21,26,-5,-22.1
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Brianna Fraser|Kristen Confroy",4,4,530,8.8,19,6,13,58.9
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kristen Confroy|Malina Howard",6,6,518,8.6,15,15,0,0.0
"2015-16","A'Lexus Harrison|Brene Moseley|Brianna Fraser|Kristen Confroy|Malina Howard",3,3,513,8.6,25,11,14,65.5
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|S. Walker-Kimbrough|Tierney Pfirman",3,5,501,8.3,19,9,10,47.9
"2015-16","Brianna Fraser|Chloe Pavlech|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",5,6,490,8.2,23,10,13,63.7
"2015-16","Brene Moseley|Brionna Jones|Kiara Leslie|Kristen Confroy|S. Walker-Kimbrough",5,6,471,7.8,10,14,-4,-20.4
"2015-16","Brene Moseley|Brionna Jones|Kiara Leslie|S. Walker-Kimbrough|Tierney Pfirman",5,5,468,7.8,17,8,9,46.2
"2015-16","Brene Moseley|Brionna Jones|Kiara Leslie|Kristen Confroy|Malina Howard",4,8,463,7.7,17,8,9,46.7
"2015-16","Brene Moseley|Kiah Gillespie|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",3,4,460,7.7,21,12,9,47.0
"2015-16","Brene Moseley|Brianna Fraser|Brionna Jones|S. Walker-Kimbrough|Tierney Pfirman",4,5,443,7.4,22,12,10,54.2
"2015-16","Brene Moseley|Kiara Leslie|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",4,6,431,7.2,12,16,-4,-22.3
"2015-16","Brionna Jones|Chloe Pavlech|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",8,8,424,7.1,14,7,7,39.6
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kristen Confroy|Tierney Pfirman",5,6,419,7.0,23,8,15,85.9
"2015-16","Brene Moseley|Brianna Fraser|Kiara Leslie|Kristen Confroy|Tierney Pfirman",3,4,414,6.9,17,12,5,29.0
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kiara Leslie|Kristen Confroy",4,4,409,6.8,10,11,-1,-5.9
"2015-16","A'Lexus Harrison|Brene Moseley|Brianna Fraser|Kiara Leslie|Kristen Confroy",3,3,388,6.5,11,7,4,24.7
"2015-16","A'Lexus Harrison|Chloe Pavlech|Kiah Gillespie|Kristen Confroy|Malina Howard",2,2,386,6.4,11,10,1,6.2
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Kiara Leslie|Kristen Confroy",4,5,358,6.0,12,8,4,26.8
"2015-16","Brianna Fraser|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",4,5,355,5.9,10,12,-2,-13.5
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",3,5,348,5.8,13,3,10,69.0
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",6,8,337,5.6,15,3,12,85.5
"2015-16","Brene Moseley|Chloe Pavlech|Kristen Confroy|Malina Howard|Tierney Pfirman",5,5,335,5.6,10,7,3,21.5
"2015-16","Brene Moseley|Brianna Fraser|Kiara Leslie|Kristen Confroy|Malina Howard",4,4,329,5.5,12,12,0,0.0
"2015-16","A'Lexus Harrison|Aja Ellison|Chloe Pavlech|Kiah Gillespie|Kiara Leslie",3,3,322,5.4,2,8,-6,-44.7
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kristen Confroy|Tierney Pfirman",2,3,321,5.3,13,1,12,89.7
"2015-16","A'Lexus Harrison|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kiara Leslie",4,4,315,5.2,4,2,2,15.2
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",2,3,313,5.2,13,8,5,38.3
"2015-16","Brene Moseley|Kiara Leslie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",2,2,307,5.1,10,10,0,0.0
"2015-16","Brene Moseley|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kiara Leslie",4,4,306,5.1,11,8,3,23.5
"2015-16","Brene Moseley|Brionna Jones|Kristen Confroy|Malina Howard|Tierney Pfirman",4,4,303,5.0,21,9,12,95.0
"2015-16","Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",4,4,297,5.0,9,2,7,56.6
"2015-16","A'Lexus Harrison|Aja Ellison|Brianna Fraser|Chloe Pavlech|Kiara Leslie",2,2,287,4.8,7,7,0,0.0
"2015-16","Brionna Jones|Chloe Pavlech|Kiara Leslie|Kristen Confroy|S. Walker-Kimbrough",3,4,274,4.6,15,8,7,61.3
"2015-16","Brene Moseley|Brianna Fraser|Brionna Jones|Kiara Leslie|Kristen Confroy",3,3,263,4.4,7,8,-1,-9.1
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",2,2,255,4.2,8,2,6,56.5
"2015-16","Brianna Fraser|Brionna Jones|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",2,2,252,4.2,10,0,10,95.2
"2015-16","Brene Moseley|Kiara Leslie|Kristen Confroy|Malina Howard|Tierney Pfirman",3,3,247,4.1,10,3,7,68.0
"2015-16","Brene Moseley|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",4,4,247,4.1,14,8,6,58.3
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|Kristen Confroy|Malina Howard",2,3,243,4.0,6,2,4,39.5
"2015-16","A'Lexus Harrison|Brene Moseley|Brianna Fraser|Kiah Gillespie|Kiara Leslie",2,2,242,4.0,2,2,0,0.0
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|Kristen Confroy|Tierney Pfirman",2,2,237,4.0,5,6,-1,-10.1
"2015-16","Brene Moseley|Brionna Jones|Kiah Gillespie|S. Walker-Kimbrough|Tierney Pfirman",3,3,236,3.9,6,5,1,10.2
"2015-16","A'Lexus Harrison|Brene Moseley|Kiah Gillespie|Kiara Leslie|Kristen Confroy",1,1,233,3.9,12,4,8,82.4
"2015-16","Aja Ellison|Brene Moseley|Brianna Fraser|Kristen Confroy|Malina Howard",1,1,232,3.9,5,12,-7,-72.4
"2015-16","Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",3,4,219,3.6,12,4,8,87.7
"2015-16","Brianna Fraser|Brionna Jones|Chloe Pavlech|Kiara Leslie|S. Walker-Kimbrough",3,3,219,3.6,7,8,-1,-11.0
