team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Connecticut,1,1,0,100.0,83,83.0,73,83.0,73.0,10.0,30,64,46.875,6,17,35.294117647058826,17,22,77.27272727272727,51.5625,56.32464712269272,0.34375,35,35.0,22,22.0,1.5714285714285714,8,8.0,2,2.0,14,14.0,12,12.0
Maryland,35,0,35,0.0,2912,83.2,2905,83.2,83.0,0.20000000000000284,1127,2271,49.6257155438133,229,569,40.24604569420035,429,581,73.8382099827883,54.66754733597534,57.625938004622746,0.25583443416996915,1582,45.2,671,19.17142857142857,1.22,296,8.457142857142857,152,4.3428571428571425,550,15.714285714285714,506,14.457142857142857
Washington,1,0,0,0.0,74,74.0,0,74.0,0.0,74.0,23,59,38.983050847457626,8,29,27.586206896551722,20,22,90.9090909090909,45.76271186440678,53.87303436225975,0.3728813559322034,40,40.0,12,12.0,1.0,11,11.0,2,2.0,12,12.0,10,10.0
Umes,1,0,0,0.0,30,30.0,0,30.0,0.0,30.0,11,67,16.417910447761194,3,17,17.647058823529413,5,12,41.66666666666667,18.65671641791045,20.75262866629773,0.1791044776119403,31,31.0,6,6.0,0.375,5,5.0,2,2.0,16,16.0,12,12.0
Iowa,2,0,0,0.0,111,55.5,0,55.5,0.0,55.5,42,103,40.77669902912621,8,20,40.0,19,29,65.51724137931035,44.66019417475729,47.944022114720106,0.2815533980582524,63,31.5,20,10.0,0.5263157894736842,14,7.0,6,3.0,38,19.0,33,16.5
Wisconsin,2,0,0,0.0,142,71.0,0,71.0,0.0,71.0,60,131,45.80152671755725,11,27,40.74074074074074,11,14,78.57142857142857,50.0,51.764362787984844,0.10687022900763359,61,30.5,27,13.5,1.173913043478261,8,4.0,4,2.0,23,11.5,23,11.5
Nebraska,1,0,0,0.0,50,50.0,0,50.0,0.0,50.0,16,53,30.18867924528302,4,10,40.0,14,16,87.5,33.9622641509434,41.63890739506995,0.3018867924528302,27,27.0,9,9.0,0.47368421052631576,3,3.0,3,3.0,19,19.0,12,12.0
Ohio State,2,0,0,0.0,174,87.0,0,87.0,0.0,87.0,66,140,47.14285714285714,17,41,41.46341463414634,25,35,71.42857142857143,53.214285714285715,55.98455598455598,0.25,67,33.5,34,17.0,1.4166666666666667,19,9.5,5,2.5,24,12.0,29,14.5
Northwestern,3,0,0,0.0,194,64.66666666666667,0,64.66666666666667,0.0,64.66666666666667,74,211,35.07109004739337,12,54,22.22222222222222,34,48,70.83333333333334,37.91469194312796,41.78872996725831,0.22748815165876776,103,34.333333333333336,34,11.333333333333334,0.9444444444444444,29,9.666666666666666,8,2.6666666666666665,36,12.0,55,18.333333333333332
Minnesota,1,0,0,0.0,77,77.0,0,77.0,0.0,77.0,27,70,38.57142857142858,13,37,35.13513513513514,10,12,83.33333333333334,47.85714285714286,51.14240170031881,0.17142857142857143,23,23.0,13,13.0,0.8666666666666667,6,6.0,2,2.0,15,15.0,12,12.0
Southern,1,0,0,0.0,61,61.0,0,61.0,0.0,61.0,25,64,39.0625,5,18,27.77777777777778,6,9,66.66666666666666,42.96875,44.87934078869924,0.140625,20,20.0,12,12.0,1.0909090909090908,7,7.0,2,2.0,11,11.0,22,22.0
Iona,1,0,0,0.0,58,58.0,0,58.0,0.0,58.0,21,65,32.30769230769231,10,30,33.33333333333333,6,7,85.71428571428571,40.0,42.59694477085782,0.1076923076923077,25,25.0,12,12.0,1.0909090909090908,9,9.0,1,1.0,11,11.0,17,17.0
