"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2016-17","Blair Watson",6,2,33.3,24,13,54.2,98,32,32.7
"2016-17","Brianna Fraser",27,15,55.6,19,6,31.6,154,80,51.9
"2016-17","Brionna Jones",153,102,66.7,37,27,73.0,407,281,69.0
"2016-17","Destiny Slocum",40,18,45.0,96,40,41.7,328,133,40.5
"2016-17","Ieshia Small",18,7,38.9,36,17,47.2,165,68,41.2
"2016-17","Jenna Staiti",5,1,20.0,11,5,45.5,67,34,50.7
"2016-17","Kaila Charles",49,20,40.8,43,27,62.8,272,139,51.1
"2016-17","Kiah Gillespie",13,8,61.5,15,9,60.0,110,51,46.4
"2016-17","Kristen Confroy",17,8,47.1,25,10,40.0,146,62,42.5
"2016-17","S. Walker-Kimbrough",105,57,54.3,81,45,55.6,451,237,52.5
"2016-17","Sarah Myers",1,0,0.0,6,3,50.0,39,15,38.5
"2016-17","Stephanie Jones",16,8,50.0,2,2,100.0,103,62,60.2
"2016-17","TEAM",450,246,54.7,395,204,51.6,2340,1194,51.0
