"source_id","file_id","team","opponent","points","start_seconds","end_seconds","duration","period_start","period_end","score_before","score_after"
"2016-17","9665","Maryland","UMass-Lowell",7,13,114,101,1,1,"0-0","7-0"
"2016-17","9665","Maryland","UMass-Lowell",7,242,282,40,1,1,"10-3","17-3"
"2016-17","9665","Maryland","UMass-Lowell",21,324,665,341,1,2,"17-5","38-5"
"2016-17","9665","Maryland","UMass-Lowell",11,918,1127,209,2,2,"42-12","53-12"
"2016-17","9665","Maryland","UMass-Lowell",8,1233,1327,94,3,3,"57-19","65-19"
"2016-17","9665","Maryland","UMass-Lowell",6,1505,1555,50,3,3,"68-27","74-27"
"2016-17","9665","Maryland","UMass-Lowell",8,1692,1843,151,3,4,"74-30","82-30"
"2016-17","9665","Maryland","UMass-Lowell",11,1888,2052,164,4,4,"82-32","93-32"
"2016-17","9666","Maryland","Maryland Eastern Shore",8,45,96,51,1,1,"0-0","8-0"
"2016-17","9666","Maryland","Maryland Eastern Shore",6,136,185,49,1,1,"8-3","14-3"
"2016-17","9666","Maryland Eastern Shore","Maryland",6,264,292,28,1,1,"16-5","16-11"
"2016-17","9666","Maryland","Maryland Eastern Shore",7,795,853,58,2,2,"39-21","46-21"
"2016-17","9666","Maryland","Maryland Eastern Shore",12,1670,1864,194,3,4,"70-50","82-50"
"2016-17","9666","Maryland","Maryland Eastern Shore",6,1971,2026,55,4,4,"84-54","90-54"
"2016-17","9666","Maryland","Maryland Eastern Shore",6,2127,2193,66,4,4,"92-59","98-59"
"2016-17","9666","Maryland","Maryland Eastern Shore",8,2245,2358,113,4,4,"98-61","106-61"
"2016-17","9668","Maryland","Mount St. Mary's",6,776,835,59,2,2,"20-15","26-15"
"2016-17","9668","Maryland","Mount St. Mary's",10,868,1117,249,2,2,"26-18","36-18"
"2016-17","9668","Maryland","Mount St. Mary's",11,1196,1353,157,2,3,"36-20","47-20"
"2016-17","9668","Maryland","Mount St. Mary's",6,1381,1479,98,3,3,"47-22","53-22"
"2016-17","9668","Maryland","Mount St. Mary's",10,1501,1649,148,3,3,"53-25","63-25"
"2016-17","9668","Maryland","Mount St. Mary's",19,1738,1975,237,3,4,"67-29","86-29"
"2016-17","9668","Maryland","Mount St. Mary's",6,2139,2207,68,4,4,"91-37","97-37"
"2016-17","9669","Maryland","Niagara",8,14,122,108,1,1,"0-0","0-8"
"2016-17","9669","Maryland","Niagara",8,192,268,76,1,1,"2-8","2-16"
"2016-17","9669","Maryland","Niagara",9,886,980,94,2,2,"22-34","22-43"
"2016-17","9669","Maryland","Niagara",9,1144,1213,69,2,3,"32-51","32-60"
"2016-17","9669","Niagara","Maryland",7,1300,1379,79,3,3,"36-63","43-63"
"2016-17","9669","Maryland","Niagara",8,1558,1633,75,3,3,"44-65","44-73"
"2016-17","9669","Maryland","Niagara",6,1906,1978,72,4,4,"51-80","51-86"
"2016-17","9670","Maryland","Arizona State",10,61,280,219,1,1,"0-0","0-10"
"2016-17","9670","Maryland","Arizona State",8,346,438,92,1,1,"2-10","2-18"
"2016-17","9670","Maryland","Arizona State",14,541,823,282,1,2,"4-18","4-32"
"2016-17","9670","Maryland","Arizona State",6,854,961,107,2,2,"6-32","6-38"
"2016-17","9670","Maryland","Arizona State",7,1121,1188,67,2,2,"13-40","13-47"
"2016-17","9670","Maryland","Arizona State",6,1757,1815,58,3,4,"28-62","28-68"
"2016-17","9670","Maryland","Arizona State",7,2037,2108,71,4,4,"32-70","32-77"
"2016-17","9671","Washington State","Maryland",8,100,212,112,1,1,"5-2","5-10"
