assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Channise Lewis,Kaila Charles,34,70,2.06,2,32,16,16,0
Channise Lewis,Kristen Confroy,31,91,2.94,29,2,1,1,0
Channise Lewis,Stephanie Jones,24,48,2.0,0,24,20,4,0
Kristen Confroy,Kaila Charles,22,44,2.0,0,22,12,10,0
Channise Lewis,Blair Watson,21,60,2.86,18,3,3,0,0
Channise Lewis,Brianna Fraser,21,42,2.0,0,21,10,11,0
Channise Lewis,Eleanna Christinaki,21,53,2.52,11,10,4,6,0
Kristen Confroy,Eleanna Christinaki,18,45,2.5,9,9,3,6,0
Kristen Confroy,Stephanie Jones,15,30,2.0,0,15,13,2,0
Ieshia Small,Stephanie Jones,15,30,2.0,0,15,11,4,0
Kaila Charles,Brianna Fraser,15,30,2.0,0,15,6,9,0
Ieshia Small,Kaila Charles,14,32,2.29,4,10,5,5,0
Kaila Charles,Stephanie Jones,14,28,2.0,0,14,12,2,0
Blair Watson,Kaila Charles,13,26,2.0,0,13,9,4,0
Kristen Confroy,Blair Watson,12,33,2.75,9,3,3,0,0
Kaila Charles,Blair Watson,12,33,2.75,9,3,2,1,0
Sarah Myers,Blair Watson,11,32,2.91,10,1,1,0,0
Brianna Fraser,Kaila Charles,11,22,2.0,0,11,11,0,0
Kaila Charles,Kristen Confroy,11,31,2.82,9,2,1,1,0
Ieshia Small,Kristen Confroy,11,31,2.82,9,2,1,1,0
Eleanna Christinaki,Kaila Charles,11,22,2.0,0,11,5,6,0
Blair Watson,Stephanie Jones,10,20,2.0,0,10,7,3,0
Stephanie Jones,Kristen Confroy,9,25,2.78,7,2,1,1,0
Kristen Confroy,Ieshia Small,9,18,2.0,0,9,2,7,0
Kristen Confroy,Brianna Fraser,9,18,2.0,0,9,7,2,0
Kaila Charles,Eleanna Christinaki,9,23,2.56,5,4,2,2,0
Kristen Confroy,Channise Lewis,8,22,2.75,6,2,2,0,0
Ieshia Small,Channise Lewis,7,20,2.86,6,1,1,0,0
Ieshia Small,Blair Watson,7,19,2.71,5,2,1,1,0
Sarah Myers,Kaila Charles,7,14,2.0,0,7,7,0,0
Blair Watson,Kristen Confroy,7,21,3.0,7,0,0,0,0
Ieshia Small,Brianna Fraser,7,14,2.0,0,7,3,4,0
Sarah Myers,Stephanie Jones,7,14,2.0,0,7,5,2,0
Stephanie Jones,Brianna Fraser,6,12,2.0,0,6,6,0,0
Channise Lewis,Ieshia Small,6,12,2.0,0,6,1,5,0
Stephanie Jones,Kaila Charles,5,10,2.0,0,5,3,2,0
Kaila Charles,Ieshia Small,5,10,2.0,0,5,3,2,0
Ieshia Small,Eleanna Christinaki,5,12,2.4,2,3,1,2,0
Eleanna Christinaki,Stephanie Jones,5,10,2.0,0,5,4,1,0
Stephanie Jones,Blair Watson,4,12,3.0,4,0,0,0,0
Blair Watson,Channise Lewis,4,11,2.75,3,1,1,0,0
Blair Watson,Brianna Fraser,4,8,2.0,0,4,0,4,0
Blair Watson,Ieshia Small,4,8,2.0,0,4,2,2,0
Kaila Charles,Channise Lewis,4,10,2.5,2,2,2,0,0
Brianna Fraser,Stephanie Jones,4,8,2.0,0,4,3,1,0
Brianna Fraser,Kristen Confroy,4,10,2.5,2,2,1,1,0
Stephanie Jones,Eleanna Christinaki,4,9,2.25,1,3,1,2,0
Eleanna Christinaki,Channise Lewis,4,12,3.0,4,0,0,0,0
Eleanna Christinaki,Kristen Confroy,4,12,3.0,4,0,0,0,0
Brianna Fraser,Channise Lewis,3,8,2.67,2,1,1,0,0
Brianna Fraser,Ieshia Small,3,7,2.33,1,2,0,2,0
Sarah Myers,Brianna Fraser,3,6,2.0,0,3,1,2,0
Sarah Myers,Kristen Confroy,3,9,3.0,3,0,0,0,0
Eleanna Christinaki,Brianna Fraser,3,6,2.0,0,3,1,2,0
Brianna Fraser,Blair Watson,2,6,3.0,2,0,0,0,0
Blair Watson,Sarah Myers,2,5,2.5,1,1,1,0,0
Channise Lewis,Sarah Myers,2,5,2.5,1,1,1,0,0
Stephanie Jones,Channise Lewis,2,6,3.0,2,0,0,0,0
Sarah Myers,Ieshia Small,2,4,2.0,0,2,0,2,0
Eleanna Christinaki,Ieshia Small,2,4,2.0,0,2,0,2,0
Blair Watson,Eleanna Christinaki,2,5,2.5,1,1,0,1,0
Eleanna Christinaki,Blair Watson,2,6,3.0,2,0,0,0,0
Kaila Charles,Sarah Myers,2,4,2.0,0,2,1,1,0
Ieshia Small,Aja Ellison,2,4,2.0,0,2,2,0,0
Stephanie Jones,Ieshia Small,2,4,2.0,0,2,0,2,0
Aja Ellison,Ieshia Small,1,2,2.0,0,1,1,0,0
Destiny PERKINS,Ieshia Small,1,2,2.0,0,1,1,0,0
Ieshia Small,Sarah Myers,1,2,2.0,0,1,1,0,0
Aja Ellison,Channise Lewis,1,3,3.0,1,0,0,0,0
Kristen Confroy,Sarah Myers,1,2,2.0,0,1,0,1,0
Eleanna Christinaki,Sarah Myers,1,3,3.0,1,0,0,0,0
Brianna Fraser,Eleanna Christinaki,1,2,2.0,0,1,0,1,0
Sarah Myers,Eleanna Christinaki,1,2,2.0,0,1,1,0,0
