"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","foul_type","player_foul_count","team_fouls_in_period","bonus_active","margin_at_foul"
"2017-18","9713",1,517,83,"Albany","Tiana-Jo Carter",33,"personal",1,1,0,3
"2017-18","9713",1,349,251,"Albany","Kyara Frames",2,"personal",1,2,0,2
"2017-18","9713",1,323,277,"Maryland","Kaila Charles",5,"personal",1,1,0,-2
"2017-18","9713",1,320,280,"Albany","Alexi Schecter",24,"personal",1,3,0,2
"2017-18","9713",1,289,311,"Albany","Jessica Fequiere",15,"personal",1,4,0,2
"2017-18","9713",1,162,438,"Albany","Chyanna Canada",44,"personal",1,5,1,0
"2017-18","9713",1,89,511,"Maryland","Brianna Fraser",34,"personal",1,2,0,2
"2017-18","9713",1,55,545,"Maryland","Blair Watson",22,"personal",1,3,0,2
"2017-18","9713",2,531,669,"Albany","Chyanna Canada",44,"personal",2,1,0,-1
"2017-18","9713",2,422,778,"Albany","Emma List",32,"personal",1,2,0,-5
"2017-18","9713",2,324,876,"Albany","Jessica Fequiere",15,"personal",2,3,0,-7
"2017-18","9713",2,324,876,"Albany","Mackenzie Trpcic",0,"technical","",3,0,-7
"2017-18","9713",2,324,876,"Albany","Mackenzie Trpcic",0,"personal",1,4,0,-7
"2017-18","9713",2,289,911,"Albany","Emma List",32,"personal",2,5,1,-9
"2017-18","9713",2,236,964,"Maryland","Blair Watson",22,"personal",2,1,0,15
"2017-18","9713",2,198,1002,"Maryland","Kristen Confroy",12,"personal",1,2,0,17
"2017-18","9713",2,154,1046,"Albany","Bose Aiyalogbe",13,"personal",1,6,1,-21
"2017-18","9713",2,132,1068,"Maryland","Ieshia Small",1,"personal",1,3,0,23
"2017-18","9713",2,49,1151,"Maryland","Kaila Charles",5,"personal",2,4,0,26
"2017-18","9713",3,476,1324,"Albany","Jessica Fequiere",15,"personal",3,1,0,-31
"2017-18","9713",3,465,1335,"Maryland","Kaila Charles",5,"personal",3,1,0,33
"2017-18","9713",3,448,1352,"Albany","Mackenzie Trpcic",0,"personal",2,2,0,-30
"2017-18","9713",3,440,1360,"Albany","Chyanna Canada",44,"personal",3,3,0,-31
"2017-18","9713",3,412,1388,"Albany","Heather Forster",22,"personal",1,4,0,-33
"2017-18","9713",3,366,1434,"Albany","Mackenzie Trpcic",0,"personal",3,5,1,-34
"2017-18","9713",3,290,1510,"Albany","Tiana-Jo Carter",33,"personal",2,6,1,-37
"2017-18","9713",3,273,1527,"Maryland","Brianna Fraser",34,"personal",2,2,0,38
"2017-18","9713",3,222,1578,"Maryland","Blair Watson",22,"personal",3,3,0,40
"2017-18","9713",3,37,1763,"Maryland","Stephanie Jones",24,"personal",1,4,0,37
"2017-18","9713",3,10,1790,"Maryland","Stephanie Jones",24,"personal",2,5,1,38
"2017-18","9713",4,563,1837,"Maryland","Brianna Fraser",34,"personal",3,1,0,36
"2017-18","9713",4,366,2034,"Albany","Bose Aiyalogbe",13,"personal",2,1,0,-33
"2017-18","9713",4,280,2120,"Maryland","Channise Lewis",3,"personal",1,2,0,31
"2017-18","9713",4,212,2188,"Albany","Chyanna Canada",44,"personal",4,2,0,-29
"2017-18","9713",4,86,2314,"Maryland","Brianna Fraser",34,"personal",4,3,0,29
"2017-18","9713",4,61,2339,"Albany","Bose Aiyalogbe",13,"personal",3,3,0,-27
"2017-18","9713",4,16,2384,"Albany","Tiana-Jo Carter",33,"personal",3,4,0,-29
"2017-18","9713",4,9,2391,"Maryland","Brianna Fraser",34,"personal",5,4,0,31
"2017-18","9713",4,4,2396,"Albany","Cece Mayo",34,"personal",1,5,1,-31
