"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","trip_size","made","missed","trip_result","first_attempt_made","margin_before","clutch","trip_context"
"2018-19","9885",1,558,42,"Maryland","Kaila Charles",5,2,1,1,"1/2",1,1,0,""
"2018-19","9885",1,401,199,"Coppin State","E'Mya Price",10,1,0,1,"0/1",0,-8,0,"and_one"
"2018-19","9885",1,54,546,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,16,0,""
"2018-19","9885",2,526,674,"Maryland","Brianna Fraser",34,1,1,0,"1/1",1,20,0,"and_one"
"2018-19","9885",2,385,815,"Coppin State","Jalynda Salley",45,2,0,2,"0/2",0,-25,0,""
"2018-19","9885",2,209,991,"Maryland","Shakira Austin",1,2,1,1,"1/2",0,25,0,""
"2018-19","9885",2,200,1000,"Coppin State","Chance Graham",23,2,1,1,"1/2",1,-26,0,""
"2018-19","9885",2,143,1057,"Maryland","Olivia Owens",35,1,0,1,"0/1",0,26,0,"and_one"
"2018-19","9885",2,77,1123,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,26,0,""
"2018-19","9885",3,557,1243,"Maryland","Channise Lewis",3,1,1,0,"1/1",1,28,0,"other"
"2018-19","9885",3,470,1330,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,33,0,"and_one"
"2018-19","9885",3,396,1404,"Coppin State","Chance Graham",23,2,1,1,"1/2",1,-34,0,""
"2018-19","9885",3,294,1506,"Coppin State","E'Mya Price",10,2,1,1,"1/2",1,-35,0,""
"2018-19","9885",3,239,1561,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,36,0,""
"2018-19","9885",3,156,1644,"Coppin State","Chance Graham",23,2,0,2,"0/2",0,-39,0,""
"2018-19","9885",3,56,1744,"Coppin State","Kaiya Coleman",3,1,1,0,"1/1",1,-40,0,"other"
"2018-19","9885",3,55,1745,"Coppin State","Kaiya Coleman",3,1,1,0,"1/1",1,-39,0,"other"
"2018-19","9885",3,3,1797,"Maryland","Sarah Myers",21,2,2,0,"2/2",1,38,0,""
"2018-19","9885",4,539,1861,"Coppin State","Chance Graham",23,2,0,2,"0/2",0,-40,0,""
"2018-19","9885",4,470,1930,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,43,0,""
"2018-19","9885",4,326,2074,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,45,0,""
"2018-19","9885",4,108,2292,"Maryland","Sarah Myers",21,2,1,1,"1/2",0,53,0,""
"2018-19","9885",4,67,2333,"Coppin State","Chance Graham",23,2,0,2,"0/2",0,-54,0,""
"2018-19","9885",4,52,2348,"Coppin State","Oluwadamilola Oloyed",12,2,0,2,"0/2",0,-54,0,""
"2018-19","9885",4,33,2367,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,54,0,""
"2018-19","9886",1,422,178,"Maryland","Stephanie Jones",24,2,1,1,"1/2",0,-4,0,""
"2018-19","9886",1,135,465,"Maryland","Shakira Austin",1,2,1,1,"1/2",0,6,0,""
"2018-19","9886",1,116,484,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,9,0,"and_one"
"2018-19","9886",2,589,611,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,17,0,""
"2018-19","9886",2,441,759,"Dayton","Lauren Cannatelli",24,2,1,1,"1/2",0,-23,0,""
"2018-19","9886",2,408,792,"Dayton","Jayla Scaife",42,1,0,1,"0/1",0,-20,0,"and_one"
"2018-19","9886",2,277,923,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,22,0,"and_one"
"2018-19","9886",2,265,935,"Dayton","Jayla Scaife",42,2,1,1,"1/2",0,-23,0,""
"2018-19","9886",3,572,1228,"Maryland","Stephanie Jones",24,1,0,1,"0/1",0,18,0,"and_one"
"2018-19","9886",3,275,1525,"Maryland","Taylor Mikesell",11,1,1,0,"1/1",1,16,0,"and_one"
"2018-19","9886",3,131,1669,"Dayton","Shakeela Fowler",4,2,0,2,"0/2",0,-20,0,""
"2018-19","9886",3,108,1692,"Dayton","Shakeela Fowler",4,2,2,0,"2/2",1,-20,0,""
"2018-19","9886",4,555,1845,"Maryland","Shakira Austin",1,1,1,0,"1/1",1,20,0,"and_one"
"2018-19","9886",4,380,2020,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,18,0,""
"2018-19","9886",4,203,2197,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,18,0,""
"2018-19","9886",4,154,2246,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,13,0,""
"2018-19","9886",4,116,2284,"Dayton","Lauren Cannatelli",24,2,2,0,"2/2",1,-15,0,""
"2018-19","9887",1,486,114,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,-4,0,""
"2018-19","9887",1,65,535,"Maryland","Kaila Charles",5,2,1,1,"1/2",1,9,0,""
"2018-19","9887",2,385,815,"George Washington","Kayla MOKWUAH",24,2,2,0,"2/2",1,-17,0,""
"2018-19","9887",2,40,1160,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,23,0,"and_one"
"2018-19","9887",2,16,1184,"George Washington","Kayla MOKWUAH",24,2,1,1,"1/2",1,-24,0,""
"2018-19","9887",4,557,1843,"George Washington","Kelsi MAHONEY",1,2,1,1,"1/2",1,-36,0,""
"2018-19","9887",4,520,1880,"George Washington","Maddie LODER",22,1,0,1,"0/1",0,-33,0,"and_one"
"2018-19","9887",4,471,1929,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,37,0,"and_one"
"2018-19","9887",4,383,2017,"George Washington","Kelsi MAHONEY",1,2,0,2,"0/2",0,-38,0,""
"2018-19","9887",4,61,2339,"George Washington","Olivia GUMBS",12,2,1,1,"1/2",1,-45,0,""
"2018-19","9888",1,8,592,"#10/11 South Carolina","Te'a COOPER",2,2,1,1,"1/2",1,-4,0,""
"2018-19","9888",2,272,928,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,11,0,""
"2018-19","9888",3,559,1241,"#10/11 South Carolina","Alexis JENNINGS",35,2,1,1,"1/2",0,-22,0,""
"2018-19","9888",3,368,1432,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,13,0,""
"2018-19","9888",3,309,1491,"#10/11 South Carolina","Tyasha HARRIS",52,2,1,1,"1/2",0,-13,0,""
"2018-19","9888",3,259,1541,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,13,0,""
"2018-19","9888",3,245,1555,"#10/11 South Carolina","M. HERBERT HARRIGAN",21,2,1,1,"1/2",0,-15,0,""
"2018-19","9888",3,189,1611,"#10/11 South Carolina","Tyasha HARRIS",52,2,1,1,"1/2",1,-14,0,""
"2018-19","9888",3,73,1727,"#10/11 South Carolina","Victaria SAXTON",5,2,2,0,"2/2",1,-15,0,""
"2018-19","9888",3,67,1733,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,13,0,""
"2018-19","9888",4,543,1857,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,16,0,""
"2018-19","9888",4,295,2105,"Maryland","Taylor Mikesell",11,1,1,0,"1/1",1,23,0,"other"
"2018-19","9888",4,262,2138,"Maryland","Blair Watson",22,2,2,0,"2/2",1,24,0,""
"2018-19","9888",4,115,2285,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,25,0,""
"2018-19","9888",4,20,2380,"#10/11 South Carolina","Victaria SAXTON",5,2,1,1,"1/2",0,-25,0,""
"2018-19","9889",1,398,202,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,2,0,"other"
"2018-19","9889",1,361,239,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,1,0,""
"2018-19","9889",1,262,338,"Georgia","Taja COLE",0,2,1,1,"1/2",0,-4,0,""
"2018-19","9889",2,576,624,"Georgia","Taja COLE",0,2,1,1,"1/2",1,-10,0,""
