"source_id","file_id","team","lineup","num_players","start_seconds","end_seconds","duration","pts_for","pts_against","plus_minus"
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|E'Mya Price|Jalynda Salley|Maraiyah Smith",5,0,199,199,6,14,-8
"2018-19","9885","Maryland","Brianna Fraser|Channise Lewis|Kaila Charles|Stephanie Jones|Taylor Mikesell",5,0,199,199,14,6,8
"2018-19","9885","Maryland","Blair Watson|Brianna Fraser|Kaila Charles|Shakira Austin|Taylor Mikesell",5,199,317,118,6,4,2
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|E'Mya Price|Jalynda Salley|Kaiya Coleman",5,199,398,199,4,8,-4
"2018-19","9885","Maryland","Blair Watson|Kaila Charles|Sara Vujacic|Shakira Austin|Taylor Mikesell",5,317,398,81,2,0,2
"2018-19","9885","Maryland","Blair Watson|Channise Lewis|Sara Vujacic|Shakira Austin|Stephanie Jones",5,398,600,202,9,3,6
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|E'Mya Price|Kaiya Coleman|Oluwadamilola Oloyed",5,398,740,342,3,14,-11
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|Kaiya Coleman|Oluwadamilola Oloyed|Tsahai Corbie",5,740,815,75,0,2,-2
"2018-19","9885","Maryland","Brianna Fraser|Channise Lewis|Kaila Charles|Sara Vujacic",4,600,815,215,7,0,7
"2018-19","9885","Maryland","Blair Watson|Channise Lewis|Sara Vujacic|Shakira Austin|Stephanie Jones",5,815,863,48,3,0,3
"2018-19","9885","Coppin State","Chance Graham|E'Mya Price|Kaiya Coleman|Oluwadamilola Oloyed|Tsahai Corbie",5,815,976,161,3,3,0
"2018-19","9885","Maryland","Blair Watson|Sara Vujacic|Sarah Myers|Shakira Austin|Stephanie Jones",5,863,976,113,0,3,-3
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|E'Mya Price|Kaiya Coleman|Oluwadamilola Oloyed|Tsahai Corbie",6,976,991,15,0,1,-1
"2018-19","9885","Maryland","Blair Watson|Olivia Owens|Sara Vujacic|Sarah Myers|Shakira Austin",5,976,1000,24,1,1,0
"2018-19","9885","Coppin State","Chance Graham|E'Mya Price|Kaiya Coleman|Maraiyah Smith|Oluwadamilola Oloyed|Tsahai Corbie",6,991,1096,105,4,4,0
"2018-19","9885","Coppin State","Chance Graham|Kaiya Coleman|Maraiyah Smith|Oluwadamilola Oloyed|Tsahai Corbie",5,1096,1113,17,0,0,0
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|Kaiya Coleman|Oluwadamilola Oloyed|Tsahai Corbie",5,1113,1123,10,0,2,-2
"2018-19","9885","Maryland","Blair Watson|Olivia Owens|Sara Vujacic|Sarah Myers|Shakira Austin",5,1000,1200,200,6,3,3
"2018-19","9885","Coppin State","Brooke Fields|Chance Graham|Kaiya Coleman|Oluwadamilola Oloyed|Tsahai Corbie",5,1123,1200,77,0,0,0
