"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2018-19","Taylor Mikesell",34,1082.8,267.2,2090,1714,13.9,461,366,14.2,-0.3,376
"2018-19","Kaila Charles",34,977.3,372.7,1855,1488,15.0,696,592,11.2,3.9,367
"2018-19","Blair Watson",34,882.7,467.3,1697,1367,15.0,854,713,12.1,2.9,330
"2018-19","Stephanie Jones",34,879.5,470.5,1690,1358,15.1,861,722,11.8,3.3,332
"2018-19","Channise Lewis",34,818.2,531.8,1526,1264,12.8,1025,816,15.7,-2.9,262
"2018-19","Shakira Austin",34,791.4,558.6,1423,1191,11.7,1128,889,17.1,-5.4,232
"2018-19","Brianna Fraser",32,559.2,790.8,1057,819,17.0,1494,1261,11.8,5.2,238
"2018-19","Sara Vujacic",30,358.1,992.0,681,529,17.0,1870,1551,12.9,4.1,152
"2018-19","Sarah Myers",21,138.3,1211.7,242,194,13.9,2309,1886,14.0,-0.1,48
"2018-19","Olivia Owens",15,65.0,1285.0,127,111,9.9,2424,1969,14.2,-4.3,16
