"source_id","file_id","team","player_name","player_number","stint_index","in_seconds","out_seconds","duration","pts_for","pts_against","plus_minus","starter"
"2018-19","9885","Coppin State","Maraiyah Smith",2,1,0,199,199,6,14,-8,1
"2018-19","9885","Coppin State","Brooke Fields",4,1,0,815,815,13,38,-25,1
"2018-19","9885","Coppin State","E'Mya Price",10,1,0,740,740,13,36,-23,1
"2018-19","9885","Coppin State","Chance Graham",23,1,0,1744,1744,29,68,-39,1
"2018-19","9885","Coppin State","Jalynda Salley",45,1,0,398,398,10,22,-12,1
"2018-19","9885","Maryland","Channise Lewis",3,1,0,199,199,14,6,8,1
"2018-19","9885","Maryland","Kaila Charles",5,1,0,398,398,22,10,12,1
"2018-19","9885","Maryland","Taylor Mikesell",11,1,0,398,398,22,10,12,1
"2018-19","9885","Maryland","Stephanie Jones",24,1,0,199,199,14,6,8,1
"2018-19","9885","Maryland","Brianna Fraser",34,1,0,317,317,20,10,10,1
"2018-19","9885","Coppin State","Kaiya Coleman",3,1,199,2400,2201,30,79,-49,0
"2018-19","9885","Maryland","Shakira Austin",1,1,199,600,401,17,7,10,0
"2018-19","9885","Maryland","Blair Watson",22,1,199,600,401,17,7,10,0
"2018-19","9885","Maryland","Sara Vujacic",32,1,317,1200,883,28,10,18,0
"2018-19","9885","Coppin State","Oluwadamilola Oloyed",12,1,398,1200,802,10,26,-16,0
"2018-19","9885","Maryland","Channise Lewis",3,2,398,863,465,19,3,16,0
"2018-19","9885","Maryland","Stephanie Jones",24,2,398,600,202,9,3,6,0
"2018-19","9885","Maryland","Kaila Charles",5,2,600,815,215,7,0,7,0
"2018-19","9885","Maryland","Brianna Fraser",34,2,600,815,215,7,0,7,0
"2018-19","9885","Coppin State","Tsahai Corbie",0,1,740,1200,460,7,12,-5,0
"2018-19","9885","Coppin State","E'Mya Price",10,2,815,1096,281,7,8,-1,0
"2018-19","9885","Maryland","Shakira Austin",1,2,815,1200,385,10,7,3,0
"2018-19","9885","Maryland","Blair Watson",22,2,815,1200,385,10,7,3,0
"2018-19","9885","Maryland","Stephanie Jones",24,3,815,976,161,3,3,0,0
"2018-19","9885","Maryland","Sarah Myers",21,1,863,1200,337,7,7,0,0
"2018-19","9885","Coppin State","Brooke Fields",4,2,976,991,15,0,1,-1,0
"2018-19","9885","Maryland","Olivia Owens",35,1,976,1200,224,7,4,3,0
"2018-19","9885","Coppin State","Maraiyah Smith",2,2,991,1113,122,4,4,0,0
"2018-19","9885","Coppin State","Brooke Fields",4,3,1113,1483,370,5,14,-9,0
"2018-19","9885","Coppin State","E'Mya Price",10,3,1200,1744,544,9,20,-11,0
