"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2019,11441,"Maryland","K. CHARLES",5,"G",21,"8-14",57.1,"2-3",66.7,"0-0",0.0,3,3,0,3,0,18,2,1,2,0,21.0,26.22,0.857,8,14,2,3,0,0,1
2019,11441,"Maryland","T. MIKESELL",11,"G",25,"5-9",55.6,"4-6",66.7,"0-0",0.0,1,3,2,3,1,14,0,1,0,0,16.0,17.3,0.56,5,9,4,6,0,0,1
2019,11441,"Maryland","D. MILLER",14,"G",21,"2-7",28.6,"0-3",0.0,"3-4",75.0,4,5,2,2,0,7,2,2,5,0,10.0,20.15,0.333,2,7,0,3,3,4,1
2019,11441,"Maryland","A. OWUSU",15,"G",31,"7-17",41.2,"2-6",33.3,"2-2",100.0,3,9,0,4,0,18,1,2,1,0,24.0,22.68,0.581,7,17,2,6,2,2,1
2019,11441,"Maryland","S. JONES",24,"F",17,"6-6",100.0,"1-1",100.0,"4-4",100.0,6,2,0,1,1,17,3,3,2,0,27.0,17.95,1.0,6,6,1,1,4,4,1
2019,11441,"Maryland","S. AUSTIN",1,"F",27,"5-11",45.5,"0-0",0.0,"8-11",72.7,11,1,1,3,2,18,7,4,4,0,25.0,24.53,0.667,5,11,0,0,8,11,0
2019,11441,"Maryland","F. MASONIUS",13,"F",31,"4-8",50.0,"0-1",0.0,"4-6",66.7,6,4,2,3,0,12,3,3,0,0,17.0,16.03,0.387,4,8,0,1,4,6,0
2019,11441,"Maryland","S. VUJACIC",32,"G",27,"6-9",66.7,"3-5",60.0,"0-2",0.0,6,3,1,0,1,15,0,6,1,0,19.0,15.85,0.556,6,9,3,5,0,2,0
2019,11441,"Wagner","M. LENAHAN",3,"G",28,"0-2",0.0,"0-2",0.0,"0-0",0.0,3,5,2,1,1,0,1,2,2,0,6.0,6.41,0.0,0,2,0,2,0,0,1
2019,11441,"Wagner","J. HOW",5,"G",9,"0-3",0.0,"0-1",0.0,"0-0",0.0,2,2,2,0,0,0,1,1,0,0,-1.0,0.0,0.0,0,3,0,1,0,0,1
2019,11441,"Wagner","J. HOBSON",14,"F",11,"0-2",0.0,"0-2",0.0,"0-0",0.0,1,0,3,0,0,0,0,1,0,0,-4.0,20.4,0.0,0,2,0,2,0,0,1
2019,11441,"Wagner","K. EDWARDS",22,"G",23,"2-5",40.0,"0-1",0.0,"0-0",0.0,5,1,4,0,0,4,1,4,2,0,3.0,17.56,0.174,2,5,0,1,0,0,1
2019,11441,"Wagner","E. KRISTA GRAVA",24,"F",37,"9-15",60.0,"1-2",50.0,"1-2",50.0,2,2,5,0,1,20,1,1,2,0,13.0,25.33,0.541,9,15,1,2,1,2,1
2019,11441,"Wagner","A. COWAN",0,"G",31,"7-14",50.0,"4-7",57.1,"7-10",70.0,5,1,8,1,0,25,0,5,3,0,14.0,38.22,0.806,7,14,4,7,7,10,0
2019,11441,"Wagner","A. POLLARD",4,"G",20,"0-4",0.0,"0-3",0.0,"0-0",0.0,1,4,2,0,0,0,0,1,3,0,-1.0,13.46,0.0,0,4,0,3,0,0,0
2019,11441,"Wagner","R. PITT",15,"G",8,"0-1",0.0,"0-0",0.0,"0-0",0.0,2,1,0,0,0,0,0,2,1,0,2.0,0.0,0.0,0,1,0,0,0,0,0
2019,11441,"Wagner","D. HEYWARD",21,"G",21,"2-3",66.7,"0-0",0.0,"1-2",50.0,2,2,2,1,0,5,1,1,5,0,6.0,12.57,0.238,2,3,0,0,1,2,0
2019,11441,"Wagner","E. NIGATU",30,"F",7,"1-3",33.3,"0-0",0.0,"0-0",0.0,1,0,1,0,0,2,1,0,5,0,0.0,0.0,0.0,1,3,0,0,0,0,0
2019,11441,"Wagner","K. JACKSON",55,"F",5,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,11442,"Maryland","K. CHARLES",5,"G",33,"5-18",27.8,"0-2",0.0,"1-2",50.0,5,0,1,0,3,11,2,3,4,0,4.0,28.6,0.333,5,18,0,2,1,2,1
2019,11442,"Maryland","T. MIKESELL",11,"G",18,"0-5",0.0,"0-4",0.0,"0-0",0.0,0,1,3,1,0,0,0,0,1,0,-6.0,21.1,0.0,0,5,0,4,0,0,1
