"source_id","file_id","date","location","officials","attendance","home_team","home_score","home_record","visiting_team","visiting_score","visiting_record"
2020,12120,"2/4/2021","XFINITY Center, College Park, MD","Mark Berger,  Natasha Camy,  Michael McConnell",0,"Maryland",84,"13-2,9-1 Big Ten","Wisconsin",48,"4-12,1-12 Big Ten"
2020,12116,"1/17/2021","Kohl Center, Madison, WI","Karleena Tobin,  Bryan Enterline,  Mark Zentz",0,"Wisconsin",70,"3-8,0-8 Big Ten","Maryland",79,"11-1,7-0 Big Ten"
2020,12117,"2/23/2021","XFINITY Center, College Park, MD","Starr Jefferson,  Gina Cross,  Angie Enlund",0,"Maryland",111,"17-2,13-1 Big Ten","Iowa",93,"12-7,8-7 Big Ten"
2020,12394,"3/24/2021","Bill Greehey Arena, San Antonio, TX","Fatou Cissoko-Stephens,  Katie Lukanich,  Eric Brewton",0,"Maryland",100,"26-2,17-1 Big Ten","Alabama",64,"17-10,8-8 SEC"
2020,12382,"2/25/2021","Mackey Arena, West Lafayette, IN","Hykesha Thompson,  Bruce Morris,  Mack Zentz",161,"Purdue",59,"6-14,3-13 Big Ten","Maryland",88,"18-2,14-1 Big Ten"
2020,12121,"3/4/2021","Crisler Center, Ann Arbor, MI","Karleena Tobin,  Kevin Pethtel,  Mark Zentz",36,"Michigan",63,"13-4,8-4 Big Ten","Maryland",88,"20-2,16-1 Big Ten"
2020,12137,"12/19/2020","XFINITY Center, College Park, MD","",0,"Maryland",101,"5-1,1-0 Big Ten","James Madison",59,"4-3,0-0 CAA"
2020,12079,"12/3/2020","XFINITY Center, College Park, MD","Kaz Beverley,  Erika Herriman-Camarota,  Tom Hallead",0,"Maryland",112,"3-1,0-0 Big Ten","Towson",78,"2-1,0-0 CAA"
2020,12385,"3/13/2021","Bankers Life Fieldhouse, Indianapolis, IN","Mark Zentz,  Gina Cross,  Felicia Grinter",1202,"Maryland",104,"24-2,17-1 Big Ten","Iowa",84,"18-9,11-8 Big Ten"
2020,12130,"3/22/2021","Alamodome, San Antonio, TX","Timothy Greene,  Pualani Spurlock,  Michael McConnell",0,"Maryland",98,"25-2,17-1 Big Ten","Mount St. Mary's",45,"17-7,14-4 NEC"
