"source_id","file_id","team","opponent","is_home","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench","largest_lead","largest_lead_time","time_with_lead_sec","pct_lead","ties","lead_changes","possessions","avg_scoring_possession","largest_deficit"
"2020-21","12076","Davidson","Maryland",1,32,8,7,22,19,0,"-",0,0.0,2,0,0,"-",25
"2020-21","12076","Maryland","Davidson",0,60,17,12,19,22,25,"0:44 (4th)",2328,97.0,2,0,0,"-",0
"2020-21","12077","Maryland","Missouri St.",1,34,11,22,10,21,16,"1:53 (2nd)",1236,51.5,3,10,0,"-",11
"2020-21","12077","Missouri St.","Maryland",0,38,25,14,13,19,11,"0:18 (4th)",974,40.6,3,10,0,"-",16
"2020-21","12078","Arkansas","Maryland",1,34,26,20,13,34,3,"6:44 (1st)",14,0.6,3,2,0,"-",33
"2020-21","12078","Maryland","Arkansas",0,42,17,20,27,17,33,"2:22 (3rd)",2301,95.8,3,2,0,"-",3
"2020-21","12079","Maryland","Towson",1,36,14,20,18,27,37,"0:19 (4th)",2336,97.3,1,3,0,"-",2
"2020-21","12079","Towson","Maryland",0,32,13,13,15,12,2,"8:59 (1st)",38,1.6,1,3,0,"-",37
"2020-21","12109","Rutgers","Maryland",1,38,13,22,7,24,4,"2:01 (3rd)",820,34.2,12,9,0,"-",12
"2020-21","12109","Maryland","Rutgers",0,34,22,23,18,30,12,"5:28 (4th)",1250,52.1,12,9,0,"-",4
"2020-21","12111","Penn St.","Maryland",1,34,9,23,10,31,6,"6:02 (1st)",344,14.3,2,3,0,"-",16
"2020-21","12111","Maryland","Penn St.",0,56,24,33,12,17,16,"0:27 (4th)",1820,75.8,2,3,0,"-",6
"2020-21","12112","Maryland","Indiana",1,32,9,17,8,8,16,"8:01 (4th)",2383,99.3,0,0,0,"-",0
"2020-21","12112","Indiana","Maryland",0,46,15,15,6,9,0,"-",0,0.0,0,0,0,"-",16
