"source_id","player_name","streak_type","length","start_date","end_date","start_file_id","end_file_id","spans_games","active"
"2021-22","Ashley Owusu","ft_makes",24,"2021-11-21","2021-12-02","12553","12584",1,0
"2021-22","Katie Benzan","ft_makes",21,"2021-11-14","2022-03-20","12550","12970",1,1
"2021-22","Mimi Collins","ft_makes",20,"2021-11-18","2022-02-17","12552","12662",1,1
"2021-22","Chloe Bibby","ft_makes",16,"2021-12-05","2022-01-09","12647","12652",1,0
"2021-22","Angel Reese","ft_makes",14,"2022-01-09","2022-01-20","12652","12654",1,0
"2021-22","Diamond Miller","fg_misses",11,"2022-02-06","2022-02-09","12659","12660",1,0
"2021-22","Angel Reese","ft_makes",11,"2022-02-17","2022-02-20","12662","12663",1,0
"2021-22","Ashley Owusu","ft_makes",11,"2022-01-09","2022-01-23","12652","12655",1,0
"2021-22","Diamond Miller","ft_makes",11,"2022-02-20","2022-03-20","12663","12970",1,0
"2021-22","Angel Reese","fg_makes",10,"2022-01-06","2022-01-09","12651","12652",1,0
"2021-22","Ashley Owusu","fg_misses",10,"2022-01-20","2022-01-20","12654","12654",0,0
"2021-22","Chloe Bibby","fg_misses",10,"2022-03-04","2022-03-18","12966","12706",1,0
"2021-22","Chloe Bibby","ft_makes",10,"2021-11-16","2021-11-27","12551","12547",1,0
"2021-22","Chloe Bibby","ft_makes",10,"2022-01-30","2022-02-06","12657","12659",1,0
"2021-22","Diamond Miller","ft_makes",10,"2022-02-03","2022-02-09","12658","12660",1,0
"2021-22","Shyanne Sellers","ft_makes",10,"2021-11-27","2022-02-03","12547","12658",1,0
"2021-22","Angel Reese","fg_misses",9,"2021-11-25","2021-11-27","12546","12547",1,0
"2021-22","Ashley Owusu","fg_misses",9,"2021-12-12","2021-12-12","12554","12554",0,0
"2021-22","Taisiya Kozlova","fg_misses",9,"2021-11-16","2021-11-27","12551","12547",1,0
"2021-22","Angel Reese","ft_makes",9,"2022-03-04","2022-03-20","12966","12970",1,0
"2021-22","Faith Masonius","fg_makes",8,"2021-12-08","2021-12-21","12648","12555",1,0
"2021-22","Angel Reese","fg_misses",8,"2022-01-09","2022-01-16","12652","12653",1,0
"2021-22","Angel Reese","ft_makes",8,"2022-03-20","2022-03-20","12970","12970",0,0
"2021-22","Ashley Owusu","ft_makes",8,"2021-12-02","2021-12-02","12584","12584",0,0
"2021-22","Ashley Owusu","ft_makes",8,"2021-12-05","2021-12-08","12647","12648",1,0
"2021-22","Chloe Bibby","ft_makes",8,"2021-11-09","2021-11-16","12548","12551",1,0
"2021-22","Angel Reese","fg_makes",7,"2022-01-30","2022-01-30","12657","12657",0,0
"2021-22","Angel Reese","fg_makes",7,"2022-02-14","2022-02-14","12661","12661",0,0
"2021-22","Diamond Miller","fg_makes",7,"2022-01-06","2022-01-06","12651","12651",0,0
"2021-22","Chloe Bibby","fg_misses",7,"2021-11-09","2021-11-12","12548","12549",1,0
"2021-22","Chloe Bibby","fg_misses",7,"2021-11-18","2021-11-21","12552","12553",1,0
"2021-22","Chloe Bibby","fg_misses",7,"2021-11-27","2021-12-02","12547","12584",1,0
"2021-22","Katie Benzan","fg_misses",7,"2022-01-02","2022-01-06","12650","12651",1,0
"2021-22","Katie Benzan","fg_misses",7,"2022-03-04","2022-03-18","12966","12706",1,0
"2021-22","Shyanne Sellers","fg_misses",7,"2021-11-25","2021-11-27","12546","12547",1,0
"2021-22","Angel Reese","ft_makes",7,"2021-11-18","2021-11-21","12552","12553",1,0
"2021-22","Angel Reese","ft_makes",7,"2022-02-09","2022-02-14","12660","12661",1,0
"2021-22","Diamond Miller","ft_makes",7,"2021-12-21","2022-01-02","12555","12650",1,0
"2021-22","Angel Reese","fg_makes",6,"2021-11-12","2021-11-12","12549","12549",0,0
"2021-22","Angel Reese","fg_makes",6,"2021-11-27","2021-12-02","12547","12584",1,0
"2021-22","Ashley Owusu","fg_makes",6,"2022-03-18","2022-03-20","12706","12970",1,0
"2021-22","Katie Benzan","fg_makes",6,"2021-12-21","2021-12-21","12555","12555",0,0
"2021-22","Angel Reese","fg_misses",6,"2021-11-09","2021-11-09","12548","12548",0,0
"2021-22","Angel Reese","fg_misses",6,"2021-11-14","2021-11-14","12550","12550",0,0
"2021-22","Angel Reese","fg_misses",6,"2022-01-02","2022-01-06","12650","12651",1,0
"2021-22","Angel Reese","fg_misses",6,"2022-02-17","2022-02-17","12662","12662",0,0
"2021-22","Angel Reese","fg_misses",6,"2022-02-25","2022-03-04","12664","12966",1,0
"2021-22","Ashley Owusu","fg_misses",6,"2021-11-09","2021-11-12","12548","12549",1,0
"2021-22","Chloe Bibby","fg_misses",6,"2021-12-12","2021-12-21","12554","12555",1,0
"2021-22","Chloe Bibby","fg_misses",6,"2022-02-20","2022-02-25","12663","12664",1,0
"2021-22","Diamond Miller","fg_misses",6,"2022-01-16","2022-01-20","12653","12654",1,0
