"source_id","file_id","team","period","points","fgm","fga","tpm","tpa","ftm","fta","offensive_rebounds","defensive_rebounds","rebounds","assists","turnovers","steals","blocks","personal_fouls","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench"
"2022-23","13134","George Mason",1,9,3,16,0,6,3,4,4,6,10,2,4,1,0,3,6,2,3,0,2
"2022-23","13134","George Mason",2,8,3,12,1,4,1,2,1,9,10,2,6,0,1,3,4,0,1,0,0
"2022-23","13134","George Mason",3,17,5,10,2,5,5,8,2,4,6,3,5,0,1,4,6,1,2,2,5
"2022-23","13134","George Mason",4,17,5,17,2,7,5,8,4,7,11,3,3,0,0,5,6,2,3,2,5
"2022-23","13134","Maryland",1,20,7,13,2,6,4,5,1,9,10,0,3,4,2,6,8,7,7,0,4
"2022-23","13134","Maryland",2,19,7,19,4,6,1,1,3,8,11,4,2,3,2,5,4,6,0,5,8
"2022-23","13134","Maryland",3,24,10,19,3,5,1,4,6,4,10,5,1,1,0,5,6,12,0,2,10
"2022-23","13134","Maryland",4,25,10,18,3,5,2,4,3,8,11,4,3,1,2,9,10,4,2,2,20
"2022-23","13135","Maryland",1,12,5,20,2,8,0,0,3,5,8,4,1,2,0,0,2,2,0,3,0
"2022-23","13135","Maryland",2,14,6,18,2,5,0,0,2,9,11,4,2,1,0,4,8,2,2,0,7
"2022-23","13135","Maryland",3,17,5,14,1,3,6,8,1,2,3,2,3,1,0,9,4,7,2,2,5
"2022-23","13135","Maryland",4,13,4,14,1,4,4,6,5,5,10,2,7,1,0,5,6,0,6,2,4
"2022-23","13135","South Carolina",1,19,9,16,1,5,0,0,2,12,14,7,5,0,2,3,14,0,0,2,6
"2022-23","13135","South Carolina",2,13,4,19,3,10,2,2,6,10,16,3,4,1,2,4,2,0,2,2,2
"2022-23","13135","South Carolina",3,30,9,16,3,7,9,12,6,8,14,4,6,1,2,6,10,5,4,10,12
"2022-23","13135","South Carolina",4,19,8,17,1,6,2,2,4,7,11,6,5,4,5,6,14,9,5,4,14
"2022-23","13136","Maryland",1,21,7,17,1,4,6,8,5,9,14,4,4,2,1,2,6,2,0,6,6
"2022-23","13136","Maryland",2,13,5,13,0,1,3,4,0,10,10,2,5,2,1,3,10,6,4,0,5
"2022-23","13136","Maryland",3,28,9,16,3,4,7,8,2,8,10,6,4,4,1,7,10,8,11,2,13
"2022-23","13136","Maryland",4,21,7,14,0,2,7,8,3,10,13,6,3,1,1,5,6,4,7,4,6
"2022-23","13136","Fordham",1,11,4,17,1,9,2,2,4,6,10,2,5,1,1,5,6,2,0,2,2
"2022-23","13136","Fordham",2,22,9,25,2,6,2,2,6,8,14,4,4,2,0,4,10,4,2,7,4
"2022-23","13136","Fordham",3,26,8,18,7,13,3,4,3,6,9,7,4,1,1,5,2,6,3,3,3
"2022-23","13136","Fordham",4,17,6,20,2,8,3,3,4,5,9,2,2,2,0,7,2,0,0,3,0
"2022-23","13137","Maryland",1,14,5,9,2,3,2,2,1,7,8,5,11,6,0,2,6,6,2,0,0
"2022-23","13137","Maryland",2,15,6,14,2,8,1,4,1,6,7,4,3,4,3,1,6,1,6,2,8
"2022-23","13137","Maryland",3,25,10,18,1,7,4,5,3,5,8,6,1,3,1,6,18,4,2,3,6
"2022-23","13137","Maryland",4,16,6,14,2,7,2,2,3,5,8,3,6,5,1,1,6,5,0,5,2
"2022-23","13137","Davidson",1,10,4,12,2,7,0,2,2,3,5,2,9,5,0,5,4,3,3,0,3
"2022-23","13137","Davidson",2,9,4,17,1,9,0,0,7,8,15,4,8,2,0,3,6,4,5,2,2
"2022-23","13137","Davidson",3,16,6,12,2,4,2,4,2,5,7,3,6,0,0,6,8,0,0,0,6
"2022-23","13137","Davidson",4,17,7,14,3,6,0,0,2,5,7,6,7,3,1,3,8,4,6,2,5
"2022-23","13138","Baylor",1,13,5,19,1,7,2,5,5,4,9,3,1,3,1,4,8,7,5,4,0
"2022-23","13138","Baylor",2,13,4,21,0,10,5,8,8,3,11,2,3,1,0,5,8,5,1,6,5
"2022-23","13138","Baylor",3,21,8,17,2,8,3,4,3,5,8,5,1,5,0,3,10,8,2,2,1
"2022-23","13138","Baylor",4,21,8,12,3,4,2,5,2,7,9,8,5,1,0,6,8,2,0,5,0
"2022-23","13138","Maryland",1,12,4,11,1,3,3,4,3,9,12,2,7,0,0,5,2,1,0,4,5
"2022-23","13138","Maryland",2,24,10,15,2,4,2,2,2,10,12,6,5,1,0,6,16,4,8,2,5
"2022-23","13138","Maryland",3,17,6,16,2,5,3,4,6,7,13,3,5,0,1,5,8,0,0,7,1
