"source_id","player_out_number","player_out_name","player_in_number","player_in_name","times_occurred","games","avg_period","avg_clock_seconds"
"2023-24","13","Faith Masonius","14","Allie Kubek",39,22,2.6,379.0
"2023-24","14","Allie Kubek","13","Faith Masonius",38,22,2.3,312.0
"2023-24","11","Jakia Brown-Turner","24","Bri McDaniel",29,19,2.4,309.0
"2023-24","05","Brinae Alexander","14","Allie Kubek",27,24,2.1,273.0
"2023-24","05","Brinae Alexander","13","Faith Masonius",25,18,2.3,351.0
"2023-24","13","Faith Masonius","24","Bri McDaniel",22,18,2.7,369.0
"2023-24","14","Allie Kubek","34","Emily Fisher",22,16,2.5,228.0
"2023-24","13","Faith Masonius","05","Brinae Alexander",19,15,2.4,364.0
"2023-24","11","Jakia Brown-Turner","34","Emily Fisher",18,14,2.7,255.0
"2023-24","34","Emily Fisher","14","Allie Kubek",18,14,2.8,384.0
"2023-24","34","Emily Fisher","13","Faith Masonius",17,15,2.6,270.0
"2023-24","24","Bri McDaniel","34","Emily Fisher",17,14,2.1,326.0
"2023-24","24","Bri McDaniel","11","Jakia Brown-Turner",17,13,3.2,265.0
"2023-24","24","Bri McDaniel","05","Brinae Alexander",17,11,2.5,220.0
"2023-24","34","Emily Fisher","24","Bri McDaniel",17,12,2.7,447.0
"2023-24","24","Bri McDaniel","13","Faith Masonius",16,13,2.0,311.0
"2023-24","13","Faith Masonius","34","Emily Fisher",16,13,2.3,279.0
"2023-24","14","Allie Kubek","05","Brinae Alexander",15,12,2.5,290.0
"2023-24","24","Bri McDaniel","00","Shyanne Sellers",15,12,2.1,313.0
"2023-24","05","Brinae Alexander","34","Emily Fisher",15,12,2.3,225.0
"2023-24","00","Shyanne Sellers","34","Emily Fisher",15,11,2.5,259.0
"2023-24","02","Riley Nelson","00","Shyanne Sellers",14,8,2.9,484.0
"2023-24","00","Shyanne Sellers","02","Riley Nelson",14,8,2.7,270.0
"2023-24","11","Jakia Brown-Turner","14","Allie Kubek",14,11,2.6,330.0
"2023-24","14","Allie Kubek","11","Jakia Brown-Turner",14,12,2.3,268.0
"2023-24","24","Bri McDaniel","03","Lavender Briggs",14,8,2.1,352.0
"2023-24","00","Shyanne Sellers","24","Bri McDaniel",14,13,2.3,290.0
"2023-24","34","Emily Fisher","11","Jakia Brown-Turner",14,10,2.4,353.0
