source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2024,18346,1,526,00,Shyanne Sellers,1,14,Allie Kubek,3PTR,3,0.0,5.0,14 Allie Kubek 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18346,1,230,24,Bri McDaniel,1,00,Shyanne Sellers,LAYUP,2,3.0,11.0,00 Shyanne Sellers LAYUP GOOD (2 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18346,2,419,01,Sarah Te-Biasu,1,14,Allie Kubek,LAYUP,7,13.0,22.0,14 Allie Kubek LAYUP GOOD (7 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18346,3,117,15,Christina Dalce,1,14,Allie Kubek,LAYUP,11,26.0,46.0,14 Allie Kubek LAYUP GOOD (11 Pt); 15 Christina Dalce Assist (1 Asst)
2024,18346,3,29,24,Bri McDaniel,2,15,Christina Dalce,LAYUP,8,29.0,50.0,15 Christina Dalce LAYUP GOOD (8 Pt); 24 Bri McDaniel Assist (2 Asst)
2024,18346,4,455,00,Shyanne Sellers,2,06,Saylor Poffenbarger,3PTR,5,29.0,55.0,06 Saylor Poffenbarger 3PTR GOOD (5 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18346,4,435,06,Saylor Poffenbarger,1,10,Mir McLean,LAYUP,2,29.0,57.0,10 Mir McLean LAYUP GOOD (2 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18346,4,409,15,Christina Dalce,2,06,Saylor Poffenbarger,LAYUP,7,31.0,59.0,06 Saylor Poffenbarger LAYUP GOOD (7 Pt); 15 Christina Dalce Assist (2 Asst)
2024,18281,1,567,01,Sarah Te-Biasu,1,02,Kaylene Smikle,3PTR,3,3.0,0.0,02 Kaylene Smikle 3PTR GOOD (3 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18281,1,493,00,Shyanne Sellers,1,14,Allie Kubek,JUMPER,2,5.0,4.0,14 Allie Kubek JUMPER GOOD (2 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18281,1,464,00,Shyanne Sellers,2,02,Kaylene Smikle,3PTR,6,8.0,4.0,02 Kaylene Smikle 3PTR GOOD (6 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18281,1,10,01,Sarah Te-Biasu,2,02,Kaylene Smikle,3PTR,11,15.0,12.0,02 Kaylene Smikle 3PTR GOOD (11 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18281,2,457,01,Sarah Te-Biasu,3,06,Saylor Poffenbarger,3PTR,3,20.0,15.0,06 Saylor Poffenbarger 3PTR GOOD (3 Pt); 01 Sarah Te-Biasu Assist (3 Asst)
2024,18281,2,414,00,Shyanne Sellers,3,01,Sarah Te-Biasu,3PTR,3,23.0,15.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18281,2,316,02,Kaylene Smikle,1,06,Saylor Poffenbarger,3PTR,6,28.0,15.0,06 Saylor Poffenbarger 3PTR GOOD (6 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18281,2,199,00,Shyanne Sellers,4,42,Amari DeBerry,JUMPER,2,34.0,16.0,42 Amari DeBerry JUMPER GOOD (2 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18281,2,25,05,Ava McKennie,1,24,Bri McDaniel,LAYUP,4,40.0,16.0,24 Bri McDaniel LAYUP GOOD (4 Pt); 05 Ava McKennie Assist (1 Asst)
2024,18281,3,439,14,Allie Kubek,1,02,Kaylene Smikle,3PTR,18,47.0,20.0,02 Kaylene Smikle 3PTR GOOD (18 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18281,3,325,00,Shyanne Sellers,5,01,Sarah Te-Biasu,3PTR,6,52.0,20.0,01 Sarah Te-Biasu 3PTR GOOD (6 Pt); 00 Shyanne Sellers Assist (5 Asst)
2024,18281,3,146,06,Saylor Poffenbarger,1,01,Sarah Te-Biasu,3PTR,9,57.0,25.0,01 Sarah Te-Biasu 3PTR GOOD (9 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18281,4,558,42,Amari DeBerry,1,15,Christina Dalce,LAYUP,4,61.0,30.0,15 Christina Dalce LAYUP GOOD (4 Pt); 42 Amari DeBerry Assist (1 Asst)
2024,18281,4,546,10,Mir McLean,1,42,Amari DeBerry,LAYUP,4,63.0,30.0,42 Amari DeBerry LAYUP GOOD (4 Pt); 10 Mir McLean Assist (1 Asst)
2024,18281,4,387,10,Mir McLean,2,42,Amari DeBerry,LAYUP,6,66.0,33.0,42 Amari DeBerry LAYUP GOOD (6 Pt); 10 Mir McLean Assist (2 Asst)
2024,18281,4,221,06,Saylor Poffenbarger,2,01,Sarah Te-Biasu,3PTR,12,69.0,39.0,01 Sarah Te-Biasu 3PTR GOOD (12 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18347,1,431,06,Saylor Poffenbarger,1,01,Sarah Te-Biasu,3PTR,3,6.0,7.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18347,1,76,14,Allie Kubek,1,24,Bri McDaniel,3PTR,5,17.0,12.0,24 Bri McDaniel 3PTR GOOD (5 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18347,2,486,24,Bri McDaniel,1,14,Allie Kubek,LAYUP,2,24.0,16.0,14 Allie Kubek LAYUP GOOD (2 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18347,2,420,24,Bri McDaniel,2,00,Shyanne Sellers,3PTR,5,24.0,19.0,00 Shyanne Sellers 3PTR GOOD (5 Pt); 24 Bri McDaniel Assist (2 Asst)
2024,18347,2,326,00,Shyanne Sellers,1,15,Christina Dalce,LAYUP,2,24.0,25.0,15 Christina Dalce LAYUP GOOD (2 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18347,2,307,24,Bri McDaniel,3,15,Christina Dalce,LAYUP,4,24.0,27.0,15 Christina Dalce LAYUP GOOD (4 Pt); 24 Bri McDaniel Assist (3 Asst)
2024,18347,2,263,06,Saylor Poffenbarger,2,14,Allie Kubek,LAYUP,4,24.0,29.0,14 Allie Kubek LAYUP GOOD (4 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18347,2,217,00,Shyanne Sellers,2,06,Saylor Poffenbarger,3PTR,3,26.0,32.0,06 Saylor Poffenbarger 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18347,2,174,06,Saylor Poffenbarger,3,14,Allie Kubek,3PTR,7,29.0,35.0,14 Allie Kubek 3PTR GOOD (7 Pt); 06 Saylor Poffenbarger Assist (3 Asst)
2024,18347,2,108,00,Shyanne Sellers,3,15,Christina Dalce,LAYUP,6,29.0,39.0,15 Christina Dalce LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18347,2,25,00,Shyanne Sellers,4,02,Kaylene Smikle,3PTR,9,31.0,42.0,02 Kaylene Smikle 3PTR GOOD (9 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18347,3,430,00,Shyanne Sellers,5,14,Allie Kubek,LAYUP,11,35.0,48.0,14 Allie Kubek LAYUP GOOD (11 Pt); 00 Shyanne Sellers Assist (5 Asst)
2024,18347,3,208,06,Saylor Poffenbarger,4,01,Sarah Te-Biasu,3PTR,6,46.0,55.0,01 Sarah Te-Biasu 3PTR GOOD (6 Pt); 06 Saylor Poffenbarger Assist (4 Asst)
2024,18347,3,134,24,Bri McDaniel,4,14,Allie Kubek,LAYUP,13,48.0,58.0,14 Allie Kubek LAYUP GOOD (13 Pt); 24 Bri McDaniel Assist (4 Asst)
2024,18347,4,461,24,Bri McDaniel,5,14,Allie Kubek,LAYUP,16,56.0,64.0,14 Allie Kubek LAYUP GOOD (16 Pt); 24 Bri McDaniel Assist (5 Asst)
2024,18347,4,130,00,Shyanne Sellers,6,02,Kaylene Smikle,3PTR,20,69.0,77.0,02 Kaylene Smikle 3PTR GOOD (20 Pt); 00 Shyanne Sellers Assist (6 Asst)
2024,18347,4,93,24,Bri McDaniel,6,06,Saylor Poffenbarger,LAYUP,7,71.0,79.0,06 Saylor Poffenbarger LAYUP GOOD (7 Pt); 24 Bri McDaniel Assist (6 Asst)
2024,18286,1,586,15,Christina Dalce,1,14,Allie Kubek,LAYUP,2,2.0,0.0,14 Allie Kubek LAYUP GOOD (2 Pt); 15 Christina Dalce Assist (1 Asst)
2024,18286,1,458,01,Sarah Te-Biasu,1,24,Bri McDaniel,3PTR,5,8.0,6.0,24 Bri McDaniel 3PTR GOOD (5 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18286,1,416,06,Saylor Poffenbarger,1,01,Sarah Te-Biasu,3PTR,3,11.0,6.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18286,1,393,24,Bri McDaniel,1,14,Allie Kubek,LAYUP,5,13.0,6.0,14 Allie Kubek LAYUP GOOD (5 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18286,1,346,02,Kaylene Smikle,1,06,Saylor Poffenbarger,3PTR,3,16.0,6.0,06 Saylor Poffenbarger 3PTR GOOD (3 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18286,1,213,00,Shyanne Sellers,1,02,Kaylene Smikle,3PTR,3,21.0,10.0,02 Kaylene Smikle 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18286,1,167,00,Shyanne Sellers,2,02,Kaylene Smikle,LAYUP,7,25.0,12.0,02 Kaylene Smikle LAYUP GOOD (7 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18286,1,103,00,Shyanne Sellers,3,06,Saylor Poffenbarger,3PTR,6,29.0,15.0,06 Saylor Poffenbarger 3PTR GOOD (6 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18286,1,83,00,Shyanne Sellers,4,10,Mir McLean,LAYUP,2,31.0,15.0,10 Mir McLean LAYUP GOOD (2 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18286,1,51,10,Mir McLean,1,15,Christina Dalce,LAYUP,3,33.0,18.0,15 Christina Dalce LAYUP GOOD (3 Pt); 10 Mir McLean Assist (1 Asst)
2024,18286,2,388,24,Bri McDaniel,2,01,Sarah Te-Biasu,3PTR,9,39.0,24.0,01 Sarah Te-Biasu 3PTR GOOD (9 Pt); 24 Bri McDaniel Assist (2 Asst)
2024,18286,2,342,00,Shyanne Sellers,5,02,Kaylene Smikle,LAYUP,9,41.0,27.0,02 Kaylene Smikle LAYUP GOOD (9 Pt); 00 Shyanne Sellers Assist (5 Asst)
2024,18286,2,271,00,Shyanne Sellers,6,02,Kaylene Smikle,3PTR,12,46.0,30.0,02 Kaylene Smikle 3PTR GOOD (12 Pt); 00 Shyanne Sellers Assist (6 Asst)
2024,18286,2,136,01,Sarah Te-Biasu,2,03,Emily Fisher,LAYUP,2,54.0,35.0,03 Emily Fisher LAYUP GOOD (2 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18286,3,536,00,Shyanne Sellers,7,15,Christina Dalce,LAYUP,9,56.0,40.0,15 Christina Dalce LAYUP GOOD (9 Pt); 00 Shyanne Sellers Assist (7 Asst)
2024,18286,3,499,00,Shyanne Sellers,8,15,Christina Dalce,LAYUP,11,58.0,40.0,15 Christina Dalce LAYUP GOOD (11 Pt); 00 Shyanne Sellers Assist (8 Asst)
2024,18286,3,272,01,Sarah Te-Biasu,3,00,Shyanne Sellers,LAYUP,6,64.0,43.0,00 Shyanne Sellers LAYUP GOOD (6 Pt); 01 Sarah Te-Biasu Assist (3 Asst)
2024,18286,3,251,24,Bri McDaniel,3,00,Shyanne Sellers,JUMPER,8,66.0,43.0,00 Shyanne Sellers JUMPER GOOD (8 Pt); 24 Bri McDaniel Assist (3 Asst)
2024,18286,3,202,01,Sarah Te-Biasu,4,06,Saylor Poffenbarger,3PTR,9,69.0,45.0,06 Saylor Poffenbarger 3PTR GOOD (9 Pt); 01 Sarah Te-Biasu Assist (4 Asst)
2024,18286,3,150,24,Bri McDaniel,4,06,Saylor Poffenbarger,3PTR,12,72.0,48.0,06 Saylor Poffenbarger 3PTR GOOD (12 Pt); 24 Bri McDaniel Assist (4 Asst)
2024,18286,4,549,10,Mir McLean,2,02,Kaylene Smikle,3PTR,17,79.0,51.0,02 Kaylene Smikle 3PTR GOOD (17 Pt); 10 Mir McLean Assist (2 Asst)
2024,18286,4,510,06,Saylor Poffenbarger,2,02,Kaylene Smikle,JUMPER,19,81.0,51.0,02 Kaylene Smikle JUMPER GOOD (19 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18286,4,479,00,Shyanne Sellers,9,02,Kaylene Smikle,LAYUP,21,83.0,51.0,02 Kaylene Smikle LAYUP GOOD (21 Pt); 00 Shyanne Sellers Assist (9 Asst)
