"source_id","player_number","player_name","games_with_subs","total_subs_in","total_subs_out","avg_subs_in_per_game","avg_subs_out_per_game"
"2024-25","15","Christina Dalce",33,128,140,3.88,4.24
"2024-25","14","Allie Kubek",33,121,130,3.67,3.94
"2024-25","02","Kaylene Smikle",33,111,128,3.36,3.88
"2024-25","10","Mir McLean",33,120,100,3.64,3.03
"2024-25","00","Shyanne Sellers",30,102,117,3.4,3.9
"2024-25","06","Saylor Poffenbarger",30,105,105,3.5,3.5
"2024-25","01","Sarah Te-Biasu",30,71,81,2.37,2.7
"2024-25","24","Bri McDaniel",17,61,51,3.59,3.0
"2024-25","42","Amari DeBerry",22,49,42,2.23,1.91
"2024-25","03","Emily Fisher",19,51,39,2.68,2.05
"2024-25","05","Ava McKennie",21,51,37,2.43,1.76
"2024-25","54","Shyanne Sellers",1,5,5,5.0,5.0
