"source_id","period","time_bucket","total_subs","games","avg_subs_per_game","most_common_out","times_out","most_common_in","times_in"
"2024-25",1,"0-2min",15,12,1.25,"Kaylene Smikle",2,"Christina Dalce",3
"2024-25",1,"1-3min",24,17,1.41,"Mir McLean",6,"Allie Kubek",6
"2024-25",1,"2-4min",26,19,1.37,"Christina Dalce",6,"Mir McLean",4
"2024-25",1,"3-5min",21,15,1.4,"Kaylene Smikle",5,"Shyanne Sellers",5
"2024-25",1,"4-6min",42,25,1.68,"Shyanne Sellers",7,"Kaylene Smikle",10
"2024-25",1,"5-7min",44,25,1.76,"Kaylene Smikle",11,"Mir McLean",11
"2024-25",1,"6-8min",27,18,1.5,"Kaylene Smikle",9,"Allie Kubek",5
"2024-25",1,"7-9min",14,11,1.27,"Christina Dalce",6,"Saylor Poffenbarger",3
"2024-25",1,"8-10min",3,3,1.0,"Sarah Te-Biasu",1,"Saylor Poffenbarger",2
"2024-25",1,"9-11min",4,3,1.33,"Shyanne Sellers",2,"Saylor Poffenbarger",2
"2024-25",2,"0-2min",21,16,1.31,"Shyanne Sellers",4,"Ava McKennie",7
"2024-25",2,"1-3min",17,13,1.31,"Shyanne Sellers",4,"Shyanne Sellers",4
"2024-25",2,"10-12min",48,27,1.78,"Mir McLean",11,"Christina Dalce",14
"2024-25",2,"2-4min",26,20,1.3,"Shyanne Sellers",7,"Sarah Te-Biasu",4
"2024-25",2,"3-5min",31,19,1.63,"Saylor Poffenbarger",5,"Kaylene Smikle",8
"2024-25",2,"4-6min",17,12,1.42,"Kaylene Smikle",4,"Allie Kubek",4
"2024-25",2,"5-7min",33,19,1.74,"Shyanne Sellers",6,"Mir McLean",9
"2024-25",2,"6-8min",27,19,1.42,"Christina Dalce",4,"Saylor Poffenbarger",5
"2024-25",2,"7-9min",18,16,1.12,"Allie Kubek",5,"Kaylene Smikle",3
"2024-25",2,"8-10min",27,19,1.42,"Christina Dalce",7,"Shyanne Sellers",6
"2024-25",2,"9-11min",5,4,1.25,"Christina Dalce",2,"Christina Dalce",2
"2024-25",3,"0-2min",24,15,1.6,"Allie Kubek",5,"Mir McLean",8
"2024-25",3,"1-3min",21,14,1.5,"Allie Kubek",4,"Kaylene Smikle",5
"2024-25",3,"10-12min",61,31,1.97,"Mir McLean",19,"Christina Dalce",18
"2024-25",3,"2-4min",27,19,1.42,"Kaylene Smikle",4,"Kaylene Smikle",5
"2024-25",3,"3-5min",18,14,1.29,"Saylor Poffenbarger",4,"Kaylene Smikle",5
"2024-25",3,"4-6min",22,14,1.57,"Kaylene Smikle",5,"Mir McLean",5
"2024-25",3,"5-7min",27,21,1.29,"Kaylene Smikle",7,"Mir McLean",7
"2024-25",3,"6-8min",23,17,1.35,"Shyanne Sellers",7,"Bri McDaniel",5
"2024-25",3,"7-9min",15,14,1.07,"Christina Dalce",4,"Allie Kubek",6
"2024-25",3,"8-10min",10,8,1.25,"Christina Dalce",5,"Saylor Poffenbarger",4
"2024-25",3,"9-11min",3,3,1.0,"Shyanne Sellers",2,"Bri McDaniel",1
"2024-25",4,"0-2min",60,15,4.0,"Christina Dalce",13,"Christina Dalce",14
"2024-25",4,"1-3min",7,6,1.17,"Christina Dalce",1,"Emily Fisher",2
"2024-25",4,"10-12min",30,23,1.3,"Mir McLean",6,"Shyanne Sellers",6
"2024-25",4,"2-4min",23,13,1.77,"Saylor Poffenbarger",4,"Emily Fisher",4
"2024-25",4,"3-5min",11,10,1.1,"Christina Dalce",4,"Kaylene Smikle",2
"2024-25",4,"4-6min",27,20,1.35,"Kaylene Smikle",5,"Mir McLean",4
"2024-25",4,"5-7min",13,13,1.0,"Allie Kubek",5,"Christina Dalce",3
"2024-25",4,"6-8min",19,15,1.27,"Shyanne Sellers",7,"Sarah Te-Biasu",4
"2024-25",4,"7-9min",15,13,1.15,"Emily Fisher",4,"Saylor Poffenbarger",3
"2024-25",4,"8-10min",17,12,1.42,"Saylor Poffenbarger",4,"Allie Kubek",3
"2024-25",4,"9-11min",4,4,1.0,"Bri McDaniel",1,"Saylor Poffenbarger",1
"2024-25",5,"0-2min",4,2,2.0,"Emily Fisher",1,"Christina Dalce",2
"2024-25",5,"1-3min",2,2,1.0,"Shyanne Sellers",1,"Mir McLean",1
"2024-25",5,"5-7min",1,1,1.0,"Christina Dalce",1,"Sarah Te-Biasu",1
"2024-25",6,"4-6min",1,1,1.0,"Saylor Poffenbarger",1,"Sarah Te-Biasu",1
