"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2024,18346,"Umbc",32,"10-43","23.3%","5-19","26.3%","7-14","50.0%",18,6,7,2,25,21
2024,18346,"Maryland",74,"29-57","50.9%","2-13","15.4%","14-19","73.7%",48,8,9,2,22,21
2024,18281,"Maryland",70,"24-59","40.7%","10-25","40.0%","12-15","80.0%",40,16,10,2,14,11
2024,18281,"Coppin St.",47,"18-55","32.7%","5-22","22.7%","6-9","66.7%",31,8,9,1,17,16
2024,18347,"Syracuse",73,"28-67","41.8%","8-18","44.4%","9-10","90.0%",32,13,9,5,13,18
2024,18347,"Maryland",84,"28-59","47.5%","8-16","50.0%","20-24","83.3%",40,17,3,7,15,12
2024,18286,"Maryland",98,"39-65","60.0%","11-17","64.7%","9-13","69.2%",46,27,6,5,17,15
2024,18286,"Towson",63,"23-59","39.0%","8-26","30.8%","9-12","75.0%",18,14,5,1,16,12
2024,18283,"Maryland",107,"39-71","54.9%","9-26","34.6%","20-24","83.3%",53,27,16,7,10,12
2024,18283,"Saint Francis",35,"12-53","22.6%","5-28","17.9%","6-12","50.0%",24,10,3,3,23,19
"2024","18282","Maryland","85","30-66","45.5%","6-9","66.7%","19-24","79.2%","45","12","3","1","20","18"
"2024","18282","Duke","80","30-73","41.1%","6-17","35.3%","14-26","53.8%","40","18","17","5","16","21"
