assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Saylor Poffenbarger,86,10,34,52,206,2.4
Yarden Garzon,85,12,25,60,195,2.29
Addi Mack,63,10,34,29,160,2.54
Oluchi Okananwa,62,11,27,35,151,2.44
Kyndal Walker,62,11,30,32,154,2.48
Marya Boiko,27,10,7,20,61,2.26
Isimenme Ozzy-Momodu,21,7,7,14,49,2.33
Mir McLean,18,8,6,12,42,2.33
Lea Bartelme,15,6,5,10,35,2.33
Rainey Welson,13,8,5,8,31,2.38
Kaylene Smikle,11,6,5,6,27,2.45
Breanna Williams,9,5,2,7,20,2.22
Ava McKennie,1,1,0,1,2,2.0
Nicole Fritea,1,1,0,1,2,2.0
