scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Yarden Garzon,77,12,54,23,208,2.7
Oluchi Okananwa,53,9,16,37,122,2.3
Isimenme Ozzy-Momodu,48,10,0,48,96,2.0
Saylor Poffenbarger,44,8,28,16,116,2.64
Marya Boiko,28,11,0,28,56,2.0
Addi Mack,27,8,9,18,63,2.33
Breanna Williams,20,8,4,16,44,2.2
Kaylene Smikle,16,7,7,9,39,2.44
Rainey Welson,12,5,10,2,34,2.83
Mir McLean,10,6,0,10,20,2.0
Lea Bartelme,6,3,3,3,15,2.5
Nicole Fritea,4,2,1,3,9,2.25
Ava McKennie,4,4,2,2,10,2.5
Kyndal Walker,4,4,0,4,8,2.0
